Name	energy/eV	pauling1	ionization1	affinity1	bulknn1	rd1	coupling_m1	work_function1	pauling2	ionization2	affinity2	bulknn2	rd2	coupling_m2	work_function2	d_center	d_skew	d_kurt	d_fill	sp_fill
Ag/Au(111)	-0.1887	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	-3.784	10.4368	3.1173	9.5011	0.6132
Cu/Au(111)	-1.1351	1.9	7.726	1.236	2.5652	0.67	1	4.719	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	-1.8185	44.4671	6.1672	9.4698	0.5479
Pt/Au(111)	-1.3064	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	-1.6337	8.1655	2.5861	7.6899	0.8962
Pd/Au(111)	-1.4683	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	-1.1006	40.1218	5.4975	9.5625	0.7011
Rh/Au(111)	-2.5951	2.28	7.459	1.143	2.704	0.99	3.32	5.078	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	-0.9486	6.3251	2.4496	6.9525	0.6402
Au/Ag(111)	-0.1626	2.54	9.226	2.309	2.9373	1.01	3.35	5.28	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	-3.0684	9.5614	2.949	8.2972	0.7919
Pt/Ag(111)	-1.4523	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	-1.5601	7.4069	2.6164	8.5069	0.9668
Pd/Ag(111)	-1.2847	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	-1.1624	18.5698	3.7474	7.9143	0.6225
Ir/Ag(111)	-2.1747	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	-1.4646	29.8408	4.1322	7.568	1.0869
Rh/Ag(111)	-2.3307	2.28	7.459	1.143	2.704	0.99	3.32	5.078	1.93	7.576	1.304	2.9261	0.89	2.26	4.427	-0.972	3.8892	2.1754	7.3714	0.6418
Pt/Cu(111)	-1.1551	2.28	8.959	2.125	2.8038	1.04	3.9	5.75	1.9	7.726	1.236	2.5652	0.67	1	4.719	-2.1799	5.5498	2.1685	8.1803	1.336
Pd/Cu(111)	-0.8607	2.2	8.337	0.562	2.7846	0.94	2.78	5.21	1.9	7.726	1.236	2.5652	0.67	1	4.719	-2.056	5.5383	2.2864	8.4137	1.0261
Ir/Cu(111)	-1.8404	2.2	9.121	1.564	2.7388	1.08	4.45	5.489	1.9	7.726	1.236	2.5652	0.67	1	4.719	-1.7443	14.4879	2.8043	6.7861	1.3241
